ut;x_norm;y_norm;offset_x;offset_y
NAN;;;0;0
UT BARR;0.4451;0.7152;0;0
UT BENFELD;0.5491;0.7420;0;0
UT BERNSTEIN;;;0;0
UT BISCHWILLER;0.7073;0.4134;0;0
UT BOOFZHEIM;0.6079;0.7721;0;0
UT BOUXWILLER;0.4302;0.3820;0;0
UT BRUMATH;0.6178;0.4458;0;0
UT DIEMERINGEN;0.2025;0.2962;0;0
UT DRULINGEN;0.2138;0.3511;0;0
UT ERSTEIN;0.6015;0.6984;0;0
UT FEGERSHEIM;0.6132;0.6423;0;0
UT GAMBSHEIM;0.7456;0.4707;0;0
UT HAGUENAU;0.6622;0.3755;0;0
UT HOCHFELDEN;0.4984;0.4301;0;0
UT HOENHEIM;0.6630;0.5275;0;0
UT HOENHEIM SOUFFEL;0.6105;0.5325;0;0
UT INGWILLER;0.4266;0.3439;0;0
UT LAUTERBOURG;0.9419;0.2431;0;0
UT LEMBACH;0.6442;0.2334;0;0
UT LINGOLSHEIM;0.5956;0.5892;0;0
UT LUPSTEIN;0.4327;0.4510;0;0
UT MARCKOLSHEIM;0.5290;0.9172;0;0
UT MARMOUTIER;0.3526;0.4917;0;0
UT MOLSHEIM;0.4693;0.6152;0;0
UT NIEDERBRONN LES B;0.5458;0.2781;0;0
UT NORD;;;0;0
UT OBERNAI;0.4553;0.6719;0;0
UT PETERSBACH;0.2663;0.3528;0;0
UT SAALES;0.1750;0.7721;0;0
UT SARRE UNION;0.1337;0.3006;0;0
UT SAVERNE;0.3326;0.4510;0;0
UT SCHIRMECK;0.2535;0.6671;0;0
UT SELESTAT;0.4542;0.8415;0;0
UT SELTZ;0.8906;0.3121;0;0
UT SOUFFLENHEIM;0.7859;0.3801;0;0
UT SOULTZ SOUS FORET;0.7333;0.2862;0;0
UT STRASBOURG NORD;0.6617;0.5438;0;0
UT STRASBOURG SUD;0.6469;0.6049;0;0
UT SUD;;;0;0
UT SUNDHOUSE;0.5617;0.8407;0;0
UT TRUCHTERSHEIM;0.5416; 0.5103;0;0
UT URMATT;0.3236;0.6219;0;0
UT VAL DE MODER;0.5278;0.3592;0;0
UT VENDENHEIM;0.6166;0.5005;0;0
UT VILLE;0.3204;0.7735;0;0
UT WASSELONNE;0.4151;0.5280;0;0
UT WINGEN SUR MODER;0.3439;0.3094;0;0
UT WISSEMBOURG;0.7693;0.2042;0;0
UT WOERTH;0.6204;0.2838;0;0